AccessionID,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release,Molecule_type
GU134716.1,Influenza A virus (A/Italy/163/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134717.1,Influenza A virus (A/Italy/164/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134718.1,Influenza A virus (A/Italy/165/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134720.1,Influenza A virus (A/Italy/167/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134721.1,Influenza A virus (A/Italy/168/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134722.1,Influenza A virus (A/Italy/169/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1363,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134724.1,Influenza A virus (A/Italy/171/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1405,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134726.1,Influenza A virus (A/Italy/173/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1360,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134727.1,Influenza A virus (A/Italy/174/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1400,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134728.1,Influenza A virus (A/Italy/175/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1369,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-07,28/10/2009,ssRNA(-)
GU134731.1,Influenza A virus (A/Italy/178/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1365,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-08,28/10/2009,ssRNA(-)
GU134733.1,Influenza A virus (A/Italy/180/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1358,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-08,28/10/2009,ssRNA(-)
GU134734.1,Influenza A virus (A/Italy/181/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1353,partial,Italy,Italy,Homo sapiens,oronasopharynx,"Franchin,E., Bordignon,M., Pacenti,M., Cusinato,R., Salata,C., Calistri,A., Palu,G.",2009-08,28/10/2009,ssRNA(-)
CY049062.1,Influenza A virus (A/Singapore/ON305/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1429,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",20/6/2009,3/11/2009,ssRNA(-)
CY049070.1,Influenza A virus (A/Singapore/ON129/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1411,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",28/5/2009,3/11/2009,ssRNA(-)
CY049078.1,Influenza A virus (A/Singapore/ON141/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1408,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",2/6/2009,3/11/2009,ssRNA(-)
CY049086.1,Influenza A virus (A/Singapore/ON279/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1391,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",19/6/2009,3/11/2009,ssRNA(-)
CY049094.1,Influenza A virus (A/Singapore/ON354/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1390,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",22/6/2009,3/11/2009,ssRNA(-)
CY049102.1,Influenza A virus (A/Singapore/ON511/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
CY049110.1,Influenza A virus (A/Singapore/ON581/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",26/6/2009,3/11/2009,ssRNA(-)
CY049118.1,Influenza A virus (A/Singapore/ON923/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1424,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",5/7/2009,3/11/2009,ssRNA(-)
CY049126.1,Influenza A virus (A/Singapore/ON193/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1370,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",14/6/2009,3/11/2009,ssRNA(-)
CY049134.1,Influenza A virus (A/Singapore/ON226/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1405,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",15/6/2009,3/11/2009,ssRNA(-)
CY049142.1,Influenza A virus (A/Singapore/ON304/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1420,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",20/6/2009,3/11/2009,ssRNA(-)
CY049150.1,Influenza A virus (A/Singapore/ON504/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1414,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
CY049158.1,Influenza A virus (A/Singapore/ON507/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1388,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
CY049166.1,Influenza A virus (A/Singapore/ON584/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1396,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",26/6/2009,3/11/2009,ssRNA(-)
CY049174.1,Influenza A virus (A/Singapore/ON588/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1387,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",26/6/2009,3/11/2009,ssRNA(-)
CY049182.1,Influenza A virus (A/Singapore/ON590/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1390,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",26/6/2009,3/11/2009,ssRNA(-)
CY049190.1,Influenza A virus (A/Singapore/ON594/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1387,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",26/6/2009,3/11/2009,ssRNA(-)
CY049198.1,Influenza A virus (A/Singapore/ON621/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1392,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",27/6/2009,3/11/2009,ssRNA(-)
CY049206.1,Influenza A virus (A/Singapore/ON628/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1394,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",27/6/2009,3/11/2009,ssRNA(-)
CY049214.1,Influenza A virus (A/Singapore/ON635/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1399,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",27/6/2009,3/11/2009,ssRNA(-)
CY049222.1,Influenza A virus (A/Singapore/ON639/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1399,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",27/6/2009,3/11/2009,ssRNA(-)
CY049230.1,Influenza A virus (A/Singapore/ON894/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1399,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",4/7/2009,3/11/2009,ssRNA(-)
CY049238.1,Influenza A virus (A/Singapore/ON896/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1393,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",4/7/2009,3/11/2009,ssRNA(-)
CY049246.1,Influenza A virus (A/Singapore/ON899/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1390,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",4/7/2009,3/11/2009,ssRNA(-)
CY049254.1,Influenza A virus (A/Singapore/ON901/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1416,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",4/7/2009,3/11/2009,ssRNA(-)
CY049262.1,Influenza A virus (A/Singapore/ON975/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1399,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",6/7/2009,3/11/2009,ssRNA(-)
CY049270.1,Influenza A virus (A/Singapore/ON978/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1399,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",6/7/2009,3/11/2009,ssRNA(-)
CY049278.1,Influenza A virus (A/Singapore/ON980/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1412,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",6/7/2009,3/11/2009,ssRNA(-)
CY049286.1,Influenza A virus (A/Singapore/ON981/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1418,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",6/7/2009,3/11/2009,ssRNA(-)
CY049294.1,Influenza A virus (A/Singapore/ON380/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",23/6/2009,3/11/2009,ssRNA(-)
CY049302.1,Influenza A virus (A/Singapore/ON384/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1405,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",23/6/2009,3/11/2009,ssRNA(-)
CY049310.1,Influenza A virus (A/Singapore/ON402/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1396,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",24/6/2009,3/11/2009,ssRNA(-)
CY049318.1,Influenza A virus (A/Singapore/ON439/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1400,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
CY049326.1,Influenza A virus (A/Singapore/ON478/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1392,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
CY049334.1,Influenza A virus (A/Singapore/ON479/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1399,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",24/6/2009,3/11/2009,ssRNA(-)
CY049342.1,Influenza A virus (A/Singapore/ON582/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",26/6/2009,3/11/2009,ssRNA(-)
CY049350.1,Influenza A virus (A/Singapore/ON593/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1400,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",26/6/2009,3/11/2009,ssRNA(-)
CY049358.1,Influenza A virus (A/Singapore/ON368/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1398,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",22/6/2009,3/11/2009,ssRNA(-)
CY049366.1,Influenza A virus (A/Singapore/ON313/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1429,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",19/6/2009,3/11/2009,ssRNA(-)
CY049374.1,Influenza A virus (A/Singapore/ON355/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1420,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",22/6/2009,3/11/2009,ssRNA(-)
CY049382.1,Influenza A virus (A/Singapore/ON442/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1400,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
CY049390.1,Influenza A virus (A/Singapore/ON496/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1404,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
CY049398.1,Influenza A virus (A/Singapore/ON506/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1406,partial,Singapore,Singapore,Homo sapiens,,"Lee,C.W., Koh,C.W., Chan,Y.S., Aw,P.P., Loh,K.H., Han,B.L., Thien,P.L., Nai,G.Y., Hibberd,M.L., Wong,C.W., Sung,W.K., Lee,C.W.H., Sung,W.-K., Phauh,S.P., Loh,P.L., Meng,S., Ng,K.Y., Yong,T.Y., Cui,L., Lin,R.",25/6/2009,3/11/2009,ssRNA(-)
